PassengerId,Sex,Pclass,Age,Fare,Survived
US_0000,male,3,47.276703300160605,47.20181071509744,0
US_0001,female,1,29.294053782858626,51.70665890964911,1
US_0002,female,1,38.54734159812949,63.31198496469605,0
US_0003,male,3,24.656265407691617,47.620651074394964,1
US_0004,male,3,33.53832893483819,50.3812901202148,0
US_0005,male,1,27.177997238852416,18.618942284275914,1
US_0006,male,1,30.357943509898053,19.123783830998118,0
US_0007,female,3,37.33219835611679,81.34041191514363,1
US_0008,female,1,17.544910434731385,23.073726201804803,1
US_0009,female,1,58.29342185959644,22.46318022720561,1
US_0010,male,3,14.915756659004172,50.159763214645075,1
US_0011,female,3,12.001359420971749,63.724481437764595,1
US_0012,female,3,45.213552229000946,54.53833172367871,0
US_0013,male,1,40.0832777154811,42.27107025669528,0
US_0014,male,3,37.737677438730174,49.60285498243142,0
US_0015,male,1,,46.003568082942834,1
US_0016,male,2,28.828545180143195,48.512762243143165,0
US_0017,male,3,16.43843879919836,47.42680133921349,0
US_0018,male,3,30.06126381471217,55.705938510572146,0
US_0019,male,3,19.519736038830438,84.83127142904601,0
US_0020,female,3,,96.26867040607421,1
US_0021,male,3,,57.53596057902543,0
US_0022,male,1,17.44303924490484,28.11074674819142,0
US_0023,male,2,24.50059821685809,80.13193781527002,0
US_0024,male,2,34.78104035985874,47.68945782561412,0
US_0025,female,1,21.107856260744352,15.667964675712613,1
US_0026,male,3,17.48891446206996,93.77943123610825,0
US_0027,male,2,,35.706402421318735,0
US_0028,male,3,32.42953199552212,62.23756396685161,0
US_0029,male,3,21.902795544804185,48.6187698915831,0
US_0030,female,3,22.40546372134348,45.689327193613146,1
US_0031,male,3,32.24869912300691,52.46401988890372,0
US_0032,male,3,8.726819219037463,75.32766982118859,0
US_0033,female,2,,36.503170408664246,1
US_0034,female,1,18.941780902465897,19.971720010063915,1
US_0035,female,3,26.011739876034138,49.78243004108825,1
US_0036,male,2,33.35270591837207,44.47929120471879,0
US_0037,male,1,49.65498703729373,89.2153987865164,1
US_0038,female,3,41.00723472482827,57.28631290951848,1
US_0039,male,1,26.76086058051202,31.29750133842066,0
US_0040,male,3,28.733773089362355,84.41274981229489,0
US_0041,male,3,14.964588895070676,60.31735635653098,0
US_0042,male,3,28.740816096106542,49.07816658695691,0
US_0043,female,2,24.958779055118068,37.12195683178598,0
US_0044,male,1,33.51805984473325,22.419445487273396,0
US_0045,female,3,17.41876679026748,55.1273155223384,0
US_0046,male,2,36.27085119937641,41.13002455114581,0
US_0047,male,3,50.458344782036086,77.16697232607912,1
US_0048,male,3,27.477357921603993,53.59680564251681,0
US_0049,male,3,34.62396410938518,57.63095304723606,0
US_0050,female,2,38.662015883955576,49.615304410626436,1
US_0051,female,2,23.382913393598294,39.48749368614788,1
US_0052,female,3,32.137294745345834,81.22677557621138,0
US_0053,female,2,29.176293610945127,47.70813209896262,1
US_0054,male,1,30.367465379683644,21.964066570140332,1
US_0055,female,3,18.17786302602347,70.03940963720537,0
US_0056,male,3,29.343142439625197,60.0006047465324,0
US_0057,male,3,35.971976077436295,60.29096862261032,0
US_0058,male,3,49.316010509130585,58.120417351399354,0
US_0059,male,1,42.42979156519289,28.743777285527642,1
US_0060,male,3,59.14455440516179,73.99374009816745,0
US_0061,male,3,18.257134119567308,47.173575395825,0
US_0062,female,1,41.21248891408949,23.140210372115586,1
US_0063,male,3,31.566788080336924,46.5701173334617,0
US_0064,male,3,59.657241065047415,72.98728569332167,0
US_0065,male,3,17.68382400502788,51.35737904750739,0
US_0066,male,3,17.243894209469136,90.54427564350358,0
US_0067,female,3,20.60850296378369,59.95538192739943,0
US_0068,male,2,1.0,62.26387628884625,1
US_0069,female,2,21.639429696469346,107.19946378067404,1
US_0070,female,3,18.37214273824823,81.62525410592355,0
US_0071,male,3,31.105513010666908,85.34718469308743,0
US_0072,male,3,33.78458366088023,55.484449083580074,0
US_0073,female,3,55.266391749022404,61.046860623726175,1
US_0074,female,3,42.3059337346047,50.857606239522305,1
US_0075,female,3,20.923348820726357,49.36593381917628,0
US_0076,female,3,16.42219460112299,59.08448123053322,1
US_0077,male,3,35.88686840109108,63.079783134420666,1
US_0078,male,3,10.51673510171101,53.28823760455245,0
US_0079,male,3,54.64042272196095,61.85353524484,0
US_0080,female,3,45.51216169009802,88.68901704941344,1
US_0081,female,2,22.431540870534132,46.27114459117693,0
US_0082,male,2,5.016116592727709,55.51747631500645,1
US_0083,male,1,47.95421323831579,47.7274448701623,0
US_0084,male,3,27.39644216646335,134.71005756565472,0
US_0085,male,1,46.329428367628466,33.48632713319671,1
US_0086,female,2,6.678012776878861,62.8857792219523,1
US_0087,female,3,20.60874967864718,110.7480824544068,1
US_0088,female,2,29.073411796054565,87.7949402696105,1
US_0089,male,3,29.65772831270639,48.04163290660239,0
US_0090,male,1,22.69908339929059,25.430732589053562,0
US_0091,female,1,37.71989905286498,22.830950010850387,1
US_0092,female,3,14.053313988643678,46.81874542731526,1
US_0093,male,2,27.00668720970189,50.0609941731676,1
US_0094,female,1,30.684138843966583,41.62889854884746,1
US_0095,male,3,36.20214367682249,82.69435693539972,0
US_0096,male,3,38.96260829324446,47.619878344233896,0
US_0097,male,1,13.255010714269833,56.82122796977154,1
US_0098,male,3,7.522401609701288,65.59622027308998,0
US_0099,male,1,46.88747550657913,39.344277306605306,1
US_0100,male,1,33.652396167714286,63.29806257661441,0
US_0101,female,3,18.52118848820825,64.60385690021867,1
US_0102,male,3,50.71612765731532,53.18542255089534,0
US_0103,male,3,30.619444880100023,79.87165631265907,1
US_0104,female,3,45.51016057689357,54.02157165021798,1
US_0105,male,3,29.945258739741526,45.69655224441443,0
US_0106,male,3,,80.51628622055111,0
US_0107,female,2,53.574771794204864,38.4682687469295,0
US_0108,male,3,25.514501921292972,74.72976698824075,0
US_0109,male,2,42.60199331336098,39.012112489013276,1
US_0110,male,2,38.03526329419206,69.47541635919004,1
US_0111,male,1,48.16084180545288,19.956680483336974,0
US_0112,female,1,15.491071551878537,88.41864167908126,1
US_0113,female,3,,75.2606371017351,0
US_0114,female,3,43.81794281589423,47.42613807707522,0
US_0115,female,3,4.3776471900764005,61.68392353513483,0
US_0116,female,2,12.434380822679149,114.48994730579076,0
US_0117,male,1,1.0,27.737811677575046,0
US_0118,female,1,,19.020478550241414,1
US_0119,male,2,39.04559158114347,43.26316231693407,1
US_0120,female,3,50.03299872934439,59.36756265173863,1
US_0121,female,3,30.03732692587685,72.07166070332163,0
US_0122,male,3,51.80061763799809,69.00266059150546,0
US_0123,male,2,9.678579584991521,40.30169507316282,0
US_0124,male,3,5.152645849027834,49.91860176197175,0
US_0125,male,3,28.222332215447338,65.71580172829508,0
US_0126,female,3,34.3769162851503,55.95338634990819,1
US_0127,female,3,28.542273526682695,47.83763661090573,1
US_0128,male,2,1.0,76.16649089088553,0
US_0129,male,1,27.752319446820962,38.50264491502786,1
US_0130,male,2,10.737426992932054,52.98867324300845,1
US_0131,male,3,38.37541568362054,79.58514644193,0
US_0132,male,1,34.132375445355876,30.086060211690558,1
US_0133,male,1,15.841682991417027,48.75387409544405,1
US_0134,female,1,21.80586315728629,28.786719190405,0
US_0135,male,1,14.171010693554678,16.39076182861194,1
US_0136,male,3,28.122492638175594,55.392218301093195,0
US_0137,female,3,42.37199248701734,58.76179557525214,1
US_0138,male,2,15.199835351302388,55.47378886998338,1
US_0139,female,1,36.05665121724982,17.25394125133531,1
US_0140,female,2,21.576393342785828,33.01688893097695,1
US_0141,male,2,17.89978034832718,36.1219127305242,1
US_0142,male,1,27.50157496063619,21.198509820828413,0
US_0143,male,2,,56.34914522690444,0
US_0144,male,2,,35.773135227777644,0
US_0145,male,3,12.229709503756121,65.05321338482787,0
US_0146,female,3,56.50615186082945,58.63519924012513,0
US_0147,male,1,,32.03321827524499,1
US_0148,male,2,19.203842888103804,66.41638856708772,0
US_0149,male,3,31.995718750279107,55.36309840281052,0
US_0150,female,3,27.427407304328383,74.47292701147262,0
US_0151,male,3,25.906425606534885,55.9648759804358,0
US_0152,male,3,37.59833380060795,53.735133750569496,1
US_0153,male,1,39.60510794066227,78.7026214110816,0
US_0154,female,1,21.572983933452615,19.075911740343617,1
US_0155,male,3,20.93854463097448,46.89362068786359,0
US_0156,female,1,25.149276239876983,44.47943633545515,1
US_0157,female,3,1.0,46.41380848788631,0
US_0158,male,3,7.787325129220271,81.28979602349293,1
US_0159,female,3,48.136239744223346,56.49638440518579,0
US_0160,male,2,52.02954798901797,79.42331238325511,0
US_0161,female,3,25.513495446210705,70.56910439665887,1
US_0162,female,2,37.07179748278073,48.852933725174054,1
US_0163,male,3,,104.63926883256296,0
US_0164,male,3,72.10433131837333,55.105135607030604,0
US_0165,female,2,44.67404876008408,91.62011190857697,1
US_0166,male,3,27.209153719269267,47.90054497677741,0
US_0167,male,3,15.622433831594039,58.223474150063,0
US_0168,male,1,6.509751516393985,21.29178278145209,0
US_0169,male,1,31.848490902141123,30.523741258239795,0
US_0170,female,1,18.411089566019754,18.53507478733998,1
US_0171,male,1,9.088448065632562,51.84375668939392,0
US_0172,male,1,19.947979620604627,52.46909123765296,0
US_0173,male,3,13.858327949398468,107.12716040198693,0
US_0174,female,1,52.61998289101591,18.360614558446862,1
US_0175,male,2,41.34295659729231,49.52785157405261,1
US_0176,female,3,28.888383021567357,57.858106505430115,0
US_0177,male,1,49.71921794446037,23.443592371537385,0
US_0178,female,3,30.083156307066655,53.663104128347626,1
US_0179,male,2,16.942021181404307,40.64757636886039,1
US_0180,male,1,50.3237370817752,39.41055161095019,0
US_0181,male,3,,63.24030062787128,0
US_0182,female,3,14.47855383942961,57.31193044198379,1
US_0183,female,3,26.335258506829486,46.57942286475179,0
US_0184,male,3,16.741344452613397,46.619111606010605,0
US_0185,female,3,9.640803766499292,45.046842625503245,1
US_0186,female,2,,98.65338215951655,1
US_0187,male,1,55.73183296658183,15.105353367881756,0
US_0188,male,3,9.420053966532024,47.17607865982273,0
US_0189,male,3,36.881569313667995,52.55495291864289,0
US_0190,male,3,,77.94593725309402,1
US_0191,female,2,22.180244627294254,95.45544259041763,1
US_0192,female,2,20.706485060655833,61.214246320492535,1
US_0193,female,3,16.904129224482574,68.4598363579822,1
US_0194,male,2,29.679302791227578,44.733651536111935,0
US_0195,male,3,17.366698370245473,46.813931438550135,0
US_0196,female,3,32.78639556091775,108.48320902975127,0
US_0197,female,2,28.296666467712082,58.40880828365944,0
US_0198,female,3,25.654727343870263,65.37474247294031,0
US_0199,female,3,16.29410873141763,73.46214186459207,1
US_0000,male,3,47.276703300160605,47.20181071509744,0
